Country,Country:de,Country:es,Country:fr,Country:nb,Capital,Capital:de,Capital:es,Capital:fr,Capital:nb
Hudson Bay,Hudson Bay,Bahía de Hudson,Baie d'Hudson,Hudsonbukta,,,,,
Labrador Sea,Labradorsee,Mar de Labrador,Mer du Labrador,Labradorsjøen,,,,,
White Sea,Weißes Meer,Mar Blanco,Mer Blanche,Kvitsjøen,,,,,
Denmark Strait,Dänemarkstraße,Estrecho de Dinamarca,Détroit de Danemark,Danmarkstredet,,,,,
Norwegian Sea,Europäisches Nordmeer,Mar de Noruega,Mer de Norvège,Norskehavet,,,,,
Baltic Sea,Ostsee,Mar Báltico,Mer Baltique,Østersjøen,,,,,
Celtic Sea,Keltische See,Mar Céltico,Mer Celtique,Det keltiske havet,,,,,
English Channel,Ärmelkanal,Canal de la Mancha,Manche (mer),Den engelske kanal,,,,,
Adriatic Sea,Adriatisches Meer,Mar Adriático,Mer Adriatique,Adriaterhavet,,,,,
Bay of Biscay,Biskaya,Golfo de Vizcaya,Golfe de Gascogne,Biscayabukten,,,,,
Black Sea,Schwarzes Meer,Mar Negro,Mer Noire,Svartehavet,,,,,
Aegean Sea,Ägäisches Meer,Mar Egeo,Mer Égée,Egeerhavet,,,,,
Balkan Peninsula,,,,,,,,,
Caspian Sea,Kaspisches Meer,Mar Caspio,Mer Caspienne,Det kaspiske hav,,,,,
Mediterranean Sea,Mittelmeer,Mar Mediterráneo,Mer Méditerranée,Middelhavet,,,,,
East Siberian Sea,Ostsibirische See,Mar de Siberia Oriental,Mer de Sibérie orientale,Øst-Sibir-havet,,,,,
Bering Strait,Beringstraße,Estrecho de Bering,Détroit de Béring,Beringstredet,,,,,
Arabian Sea,Arabisches Meer,Mar arábigo,Mer d'Arabie,Arabiahavet,,,,,
Red Sea,Rotes Meer,Mar Rojo,Mer Rouge,Rødehavet,,,,,
Dead Sea,Totes Meer,Mar Muerto,Mer Morte,Dødehavet,,,,,
Bay of Bengal,Golf von Bengalen,Bahía de Bengala,Golfe du Bengale,Bengalbukta,,,,,
Sea of Japan,Japanisches Meer,Mar del Japón,Mer du Japon,Japanhavet,,,,,
Yellow Sea,Gelbes Meer,Mar Amarillo,Mer Jaune,Gulehavet,,,,,
Coral Sea,Korallenmeer,Mar del Coral,Mer de Corail,Korallhavet,,,,,
South China Sea,Südchinesisches Meer,Mar de la China Meridional,Mer de Chine méridionale,Sør-Kina-havet,,,,,
Tasman Sea,Tasmansee,Mar de Tasmania,Mer de Tasman,Tasmanhavet,,,,,
Gulf of Carpentaria,Golf von Carpentaria,Golfo de Carpentaria,Golfe de Carpentarie,Carpentariabukta,,,,,
Aral Sea,Aralsee,Mar de Aral,Mer d'Aral,Aralsjøen,,,,,
Persian Gulf,Persischer Golf,Golfo Pérsico,Golfe Persique,Persiabukten,,,,,
Caribbean Sea,Karibisches Meer,Mar Caribe,Mer des Caraïbes,Det karibiske hav,,,,,
Gulf of California,Golf von Kalifornien,Golfo de California,Golfe de Californie,Californiabukta,,,,,
Polynesia,Polynesien,Polinesia,Polynésie,Polynesia,,,,,
Melanesia,Melanesien,Melanesia,Mélanésie,Melanesia,,,,,
Scandinavia,Skandinavien,Escandinavia,Scandinavie,Skandinavia,,,,,
Sea of Galilee,See Genezareth,Mar de Galilea,Lac de Tibériade,Genesaretsjøen,,,,,
Sumatra,Sumatra,Sumatra,Sumatra,Sumatra,,,,,
Mount Athos,Athos,Monte Athos,Mont Athos,Athos,[[Karyes (Athos)|Karyes]]<sup>a</sup>,,,Karyes (Laconie),Karyes
Sicily,Autonome Region Sizilien,Sicilia,Sicile,Sicilia,,Palermo,Palermo,Palerme,Palermo
Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,,Mamoudzou,Mamoudzou,Mamoudzou,Mamoudzou
Réunion,Réunion,Reunión (Francia),La Réunion,Réunion,,,,,
British Indian Ocean Territory,Britisches Territorium im Indischen Ozean,Territorio Británico del Océano Índico,Territoire britannique de l'océan Indien,Det britiske territoriet i Indiahavet,[[Camp Justice (Diego Garcia)|Camp Justice]],,,,
Falkland Islands,Falklandinseln,Islas Malvinas (territorio británico de ultramar),Îles Malouines,Falklandsøyene,"[[Stanley, Falkland Islands|Stanley]]",Stanley,Stanley,Stanley,
Europe,Europa,Europa,Europe,Europa,,,,,
North America,Nordamerika,América del Norte,Amérique du Nord,Nord-Amerika,,,,,
South America,Südamerika,América del Sur,Amérique du Sud,Sør-Amerika,,,,,
Asia,Asien,Asia,Asie,Asia,,,,,
Africa,Afrika,África,Afrique,Afrika,,,,,
Australia (Oceania),,,,,,,,,
Antarctica,Antarktika,Antártida,Antarctique,Antarktika,,,,,
Saint Martin,St. Martin (Insel),Isla de San Martín,Saint-Martin (île),Saint Martin,,Marigot,Marigot,Marigot,
Saint Barthélemy,Saint-Barthélemy (Insel),San Bartolomé (Francia),Saint-Barthélemy (Antilles françaises),Saint-Barthélemy,"[[Gustavia, Saint Barthélemy|Gustavia]]",Gustavia (Begriffsklärung),,Gustavia,
