Country,Country:de,Country:es,Country:fr,Country:nb,Capital,Capital:de,Capital:es,Capital:fr,Capital:nb
Mongolia,Mongolei,Mongolia,Mongolie,Mongolia,[[Ulaanbaatar]] {{Ref label|a|a}},Ulaanbaatar,Ulán Bator,Oulan-Bator,Ulan Bator
Maldives,Malediven,Maldivas,Maldives,Maldivene,[[Malé]],Malé,Malé,Malé,Malé
Malaysia,Malaysia,Malasia,Malaisie,Malaysia,[[Kuala Lumpur]]<br /> {{coord|3|8|N|101|41|E|display|=|inline}} <br />[[Putrajaya]] {{small|(administrative)}} <br /> {{small|coord|2.9430952|101.699373|region:MY|display|=|inline}} {{coord|2.9430952|101.699373|region:MY|display|=|inline}},Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,Kuala Lumpur
Oman,Oman,Omán,Oman,Oman,"[[Muscat, Oman|Muscat]]",Maskat,Mascate,Mascate,Muskat (Oman)
Nepal,Nepal,Nepal,Népal,Nepal,[[Kathmandu]],Kathmandu,Katmandú,Katmandou,Katmandu
Palestine,Palestine,Palestine,Palestine (homonymie),,,Ramallah,Ramala,Ramallah,Ramallah
Pakistan,Pakistan,Pakistán,Pakistan,Pakistan,[[Islamabad]],Islamabad,Islamabad,Islamabad,Islamabad
Qatar,Katar,Catar,Qatar,Qatar,[[Doha]],Doha,Doha,Doha,Doha
Saudi Arabia,Saudi-Arabien,Arabia Saudita,Arabie saoudite,Saudi-Arabia,[[Riyadh]],Riad,Riad,Riyad,Riyadh
Singapore,Singapur,Singapur,Singapour,Singapore,Singapore ([[city-state]]),Singapur,Singapur,Singapour,Singapore
Syria,Syrien,Siria,Syrie,Syria,[[Damascus]],Damaskus,Damasco,Damas,Damaskus
Taiwan,Republik China (Taiwan),República de China,Taïwan,Republikken Kina (Taiwan),[[Taipei]],Taipeh,Taipéi,Taipei,Taipei
Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,[[Sri Jayawardenepura Kotte]],Sri Jayewardenepura Kotte,Sri Jayawardenapura Kotte,Sri Jayawardenapura Kotte,Sri Jayawardenapura Kotte
Tajikistan,Tadschikistan,Tayikistán,Tadjikistan,Tadsjikistan,[[Dushanbe]],Duschanbe,Dusambé,Douchanbé,Dusjanbe
Thailand,Thailand,Tailandia,Thaïlande,Thailand,[[Bangkok]],Bangkok,Bangkok,Bangkok,Bangkok
East Timor,Osttimor,Timor Oriental,Timor oriental,Øst-Timor,[[Dili]],Dili,Dili,Dili,Dili
United Arab Emirates,Vereinigte Arabische Emirate,Emiratos Árabes Unidos,Émirats arabes unis,De forente arabiske emirater,[[Abu Dhabi]],Abu Dhabi,Abu Dabi,Abou Dabi (ville),Abu Dhabi (by)
Turkmenistan,Turkmenistan,Turkmenistán,Turkménistan,Turkmenistan,[[Ashgabat]],Aşgabat,Asjabad,Achgabat,Asjkhabad
Yemen,Jemen,Yemen,Yémen,Jemen,[[Sana'a]] (''[[Houthi takeover in Yemen|de jure]]'')<br />[[Aden]] (provisional),,,,
Vietnam,Vietnam,Vietnam,Viêt Nam,Vietnam,[[Hanoi]],Hanoi,Hanói,Hanoï,Hanoi
Uzbekistan,Usbekistan,Uzbekistán,Ouzbékistan,Usbekistan,[[Tashkent]],Taschkent,Taskent,Tachkent,Tasjkent
Fiji,Fidschi,Fiyi,Fidji,Fiji,[[Suva]],Suva,Suva,Suva,Suva
